cwe_id,name,score,search_source
116,Improper Encoding or Escaping of Output,8704.670646654647,unknown
138,Improper Neutralization of Special Elements,8213.518912852554,unknown
88,Improper Neutralization of Argument Delimiters in a Command ('Argument Injection'),8203.956765017218,unknown
95,Improper Neutralization of Directives in Dynamically Evaluated Code ('Eval Injection'),8116.787312451302,unknown
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),8060.79925337865,unknown
