cwe_id,name,type,score
131,Incorrect Calculation of Buffer Size,Base,0.7832147005623508
193,Off-by-one Error,Base,0.7814960926097498
1325,Improperly Controlled Sequential Memory Allocation,Base,0.7690769009698675
191,Integer Underflow (Wrap or Wraparound),Base,0.7676876447491022
805,Buffer Access with Incorrect Length Value,Base,0.765157145981838
789,Memory Allocation with Excessive Size Value,Variant,0.765010292244428
126,Buffer Over-read,Variant,0.757445175112412
125,Out-of-bounds Read,Base,0.7552655136363262
226,Sensitive Information in Resource Not Removed Before Reuse,Base,0.7535501158731877
197,Numeric Truncation Error,Base,0.7534208852926974
